genre_id,genres
1,racing
2,survival
3,platform
4,strategy
5,sports
6,action-adventure
7,beat 'em up
8,shoot
9,puzzle
10,simulation
11,vehicular combat
12,role-playing
13,stealth
14,rhythm
15,metroidvania
16,runner
17,interactive storytelling
18,augmented reality
19,art
20,endless runner
21,4x
22,warfare
23,fighting
24,moba
25,bullet hell
26,animation
27,exploration
28,indie
29,digital board game
30,science fiction
31,party
32,mecha
33,arcade
34,educational game
35,dungeon crawler
36,virtual pet
37,massively multiplayer
38,run and gun
39,parkour
40,tower defense
41,card
42,endless running
43,toys-to-life
44,trivia
45,exergaming
46,mmo
47,artillery
48,superhero
49,fitness game
50,incremental
51,massively multiplayer online tower defense
52,multiplayer online battle arena
53,crossword
54,indie game 
55,sandbox
56,idle
57,space trading and combat
58,city builder
59,massively multiplayer online
60,minigame
61,dungeon crawl
62,god game
63,miniature wargaming
64,art game
65,incremental game
66,auto battler
67,horror
68,snake
69,digital pet
70,drawing game
71,game creation system sandbox
72,endless runner game
73,brawler
74,various
75,eroge
76,bishōjo game
77,fitness
78,game of chance
79,open-world
80,social deduction
81,computer wargame
82,tycoon
83,dungeon crawl 
84,board game
85,tycoon game
86,casual
87,snowboarding
88,miscellaneous
89,sandbox game
90,hero defense
91,comedy
92,open world
93,arena brawler
94,side-scrolling video game
95,dungeon management
96,ice hockey
97,programming game
98,erotic
99,tile-matching
100,match-three
101,dance
102,management
103,side-scroller
104,parody
105,level editor
106,side-scrolling
107,programming
108,fps
109,massively multiplayer online game
110,mmo/vehicular combat game/tps
111,pinball
112,match three
113,exploration game
114,exercise
115,edutainment
116,typing
117,hidden object
118,otome game
119,first-person
120,romance
121,chat fiction
122,maze
123,mystery
124,auto-running
125,match-3
126,golf
127,escape the room
128,psychological/exploration game
129,block breaker
130,educational
131,team brawler
132,computer chess
133,battle royale
134,fighter
135,mmog
136,space combat
137,wrestling
138,psychological thriller
139,tokusatsu
140,bullet hell dodgeball
141,virtual reality
142,serious
143,battle royale game
144,minigames
145,base management
146,word game
147,fishing video game
148,space trading
149,construction sandbox game
150,fishing
151,cooking
152,photography
153,mystery-thriller
154,location-based game
155,casual game
156,gacha
157,exergame
158,indie game
159,deck-building
160,digital tabletop
161,typing game
162,space/ universe
163,karaoke
164,magic system
165,artgame
166,cooperative video game
167,tabletop game
168,game creation system
169,aerial combat
170,multiplayer
171,ccg
172,online
173,solitaire
174,first-person photography game
175,co-op
176,audio
177,otome
178,photography game
179,soulslike
180,thriller
181,deck-building game
182,space exploration
183,boss rush
184,game of life
185,beekeeping
186,dark fantasy
187,denpa
188,dungeon crawling
189,mobile game
190,cyberpunk noir
