variable,meaning
release_date,First release date of a game
game_id,Unique ID number of a game
game,Title of the game
publisher_id,Unique ID number of a publisher
publishers,Name of a publisher
series_id,Unique ID number of a series
series,Name of a series
genre_id,Unique ID number of a genre
genre,Name of a genre
mode_id,Unique ID number of a mode
mode,Name of a mode
date,Date of the observation record
earnings,Total esports earnings of a game for a specified month
players,Number of participating esports players for a game within a specified month
tournaments,Number of esports tournaments for a game the past month
open,Opening daily value of a stock
high,Highest daily value of a stock
low,Lowest daily value of a stock
close,Closing daily value of a stock
volume,Amount of shares traded on a specified date
adjusted,Closing daily value after adjustments for splits and dividend distributions
category_id,Unique ID number of all Game Awards category names
category,Name of a Game Awards category
winner,True if the observation won the specified Game Awards category
review_company_id,Unique ID number of all game review companys/groups
review_company,Name of the game review_company/group
reviewer_id,Unique ID number of all game reviewers
reviewer,Name of the reviewer
rating,Game rating given by a reviewer (out of 100)
rating_yesterday,The average rating of a game up to the date of the observation
